genus,family,order,group,county,county_lat,county_lon,order_copo,family_copo,genus_copo,taxon_name,collector_number,latitude_decimal,longitude_decimal,collection_date_verbatim
Pyrus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Pyrus,Pyrus cordata,MC9224,51.0677,-0.0902,2021-06-29
Filago,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Filago,Filago pyramidata,MC9225,51.0677,-0.0902,2021-06-29
Phyteuma,Campanulaceae,Asterales,Angiosperms,,,,Asterales,Campanulaceae,Phyteuma,Phyteuma orbiculare,MC9226,51.0677,-0.0902,2021-06-29
Ulex,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Ulex,Ulex minor,MC9228,51.0686,-0.0896,2021-06-29
Menyanthes,Menyanthaceae,Asterales,Angiosperms,,,,Asterales,Menyanthaceae,Menyanthes,Menyanthes trifoliata,MC9229,51.0686,-0.0896,2021-06-29
Kickxia,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Kickxia,Kickxia elatine,MC9231,51.0686,-0.0896,2021-06-29
Teucrium,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Teucrium,Teucrium chamaedrys,MC9217,51.0689,-0.0908,2021-06-29
Valeriana,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Valeriana,Valeriana officinalis,MC9218,51.0689,-0.0908,2021-06-29
Eryngium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Eryngium,Eryngium campestre,MC9220,51.0689,-0.0908,2021-06-29
Brassica,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Brassica,Brassica oleracea,MC 9000,51.1313,1.3412,2020-08-04
Ononis,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Ononis,Ononis repens,MC 9001,51.1313,1.3412,2020-08-04
Euphrasia,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Euphrasia,Euphrasia pseudokerneri,D16-E4E008-5,51.14415,1.3791149,2015-06-01
Origanum,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Origanum,Origanum vulgare,MC9284,51.2543,-0.3168,2021-08-23
Inula,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Inula,Inula conyza,MC9285,51.2543,-0.3168,2021-08-23
Blackstonia,Gentianaceae,Gentianales,Angiosperms,,,,Gentianales,Gentianaceae,Blackstonia,Blackstonia perfoliata,MC9283,51.2563,-0.32,2021-08-23
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Decio,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus x robusta,Robusta-5,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Fiesta,51.2859,0.4533,2021-05-24
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Park Farm Pippin,51.2859,0.4533,2021-05-24
Ornithopus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Ornithopus,Ornithopus perpusillus,MSV2415,51.2884,-0.17861,2021-08-03
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Brown snout,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Bardsey,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Harvey,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Breakwells seedling,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Kingston Black,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Blenheim Orange,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Worcester Pearman,51.309788,-0.47617,2021-05-12
Malus,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Malus,Malus domestica,Asmeads Kernel,51.309788,-0.47617,2021-05-12
,,,,,,,,,,,,51.32393,0.19442289,
Cochlearia,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Cochlearia,Cochlearia danica,MC9318,51.3383,-0.3102,2022-04-12
LAMIUM,,,,,,,Lamiales,Lamiaceae,Lamium,LAMIUM GALEOBDOLON,MC9319,51.3383,-0.3102,2022-04-12
Oenanthe,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Oenanthe,Oenanthe pimpinelloides,MC9320,51.3383,-0.3102,2022-04-12
Tragopogon,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Tragopogon,Tragopogon pratensis,MC9321,51.3383,-0.3102,2022-04-12
Caltha,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Caltha,Caltha palustris,MC9323,51.3425,-0.3175,2022-04-12
Stellaria,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria holostea,MC9316,51.3494,-0.3129,2022-04-12
Viscum,Santalaceae,Santalales,Angiosperms,,,,Santalales,Viscaceae,Viscum,Viscum album,MC 9090,51.4061,-0.3319,2020-09-07
Viscum,Santalaceae,Santalales,Angiosperms,,,,Santalales,Viscaceae,Viscum,Viscum album,MC9090,51.4061,-0.3319,2021-11-12
Viscum,Santalaceae,Santalales,Angiosperms,,,,Santalales,Viscaceae,Viscum,Viscum album,MC9309,51.4061,-0.3319,2022-03-09
Alchemilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Alchemilla,Alchemilla arvensis,MC9120,51.4075,-0.3209,2021-03-09
Scrophularia,Scrophulariaceae,Lamiales,Angiosperms,,,,Lamiales,Scrophulariaceae,Scrophularia,Scrophularia auriculata,MC 9087,51.4093,-0.317,2020-09-07
Chelidonium,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Chelidonium,Chelidonium majus,MC 9086,51.4111,-0.3108,2020-09-07
Buddleja,Scrophulariaceae,Lamiales,Angiosperms,,,,Lamiales,Scrophulariaceae,Buddleja,Buddleja davidii,MC 9096,51.4136,-0.3077,2020-09-07
Clematis,Ranunculaceae,Ranunculales,Angiosperms,,,,Ranunculales,Ranunculaceae,Clematis,Clematis vitalba,MC 9093,51.415,-0.3051,2020-09-07
Fallopia,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus,MC 9031,51.4192,-0.3044,2020-08-12
Soleirolia,Urticaceae,Rosales,Angiosperms,,,,Rosales,Urticaceae,Soleirolia,Soleirolia soleirolii,MC9348,51.4194,-0.3046,2022-05-24
Sisymbrium,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Sisymbrium,Sisymbrium officinale,MC9351,51.4194,-0.3046,2022-05-24
Barbarea,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Barbarea,Barbarea vulgaris,MC9352,51.4194,-0.3046,2022-05-24
Lepidium,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Lepidium,Lepidium didymum,MC9353,51.4194,-0.3046,2022-05-24
Sagina,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Sagina,Sagina procumbens,MC9349,51.4198,-0.3032,2022-05-24
Persicaria,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa,MC 9013,51.4207,-0.3051,2020-08-06
Calystegia,Convolvulaceae,Solanales,Angiosperms,,,,Solanales,Convolvulaceae,Calystegia,Calystegia sepium,MC 9014,51.4207,-0.3051,2020-08-06
Lythrum,Lythraceae,Myrtales,Angiosperms,,,,Myrtales,Lythraceae,Lythrum,Lythrum salicaria,MC 9015,51.4207,-0.3051,2020-08-06
Lycopus,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Lycopus,Lycopus europaeus,MC 9016,51.4207,-0.3051,2020-08-06
Verbena,Verbenaceae,Lamiales,Angiosperms,,,,Lamiales,Verbenaceae,Verbena,Verbena officinalis,MC 9017,51.4207,-0.3051,2020-08-06
Arctium,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Arctium,Arctium minus,MC 9019,51.4207,-0.3051,2020-08-06
Medicago,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Medicago,Medicago arabica,MC 9024,51.4207,-0.3051,2020-08-10
Eupatorium,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Eupatorium,Eupatorium cannabinum,MC 9025,51.4207,-0.3051,2020-08-10
Phytolacca,Phytolaccaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Phytolaccaceae,Phytolacca,Phytolacca acinosa,MC9238,51.4208,-0.3018,2021-07-26
Atropa,Solanaceae,Solanales,Angiosperms,,,,Solanales,Solanaceae,Atropa,Atropa belladonna,MC 9006,51.4208,-0.3018,2020-08-05
Pseudofumaria,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Pseudofumaria,Pseudofumaria lutea,MC9311,51.4208,-0.3018,2022-04-01
Cymbalaria,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Cymbalaria,Cymbalaria muralis,MC9324,51.4208,-0.3018,2022-04-12
Nasturtium,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Nasturtium,Nasturtium officinale,MC9327,51.4208,-0.3018,2022-05-06
Alchemilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Alchemilla,Alchemilla micans,MC9343,51.4208,-0.3018,2022-05-18
Saxifraga,Saxifragaceae,Saxifragales,Angiosperms,,,,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga hypnoides,MC9344,51.4208,-0.3018,2022-05-18
Myriophyllum,Haloragaceae,Saxifragales,Angiosperms,,,,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum aquaticum,MC9345,51.4208,-0.3018,2022-05-18
Myriophyllum,Haloragaceae,Saxifragales,Angiosperms,,,,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum spicatum,MC9346,51.4208,-0.3018,2022-05-18
Calendula,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Calendula,Calendula officinalis,MC9135,51.4209,-0.3049,2021-04-06
Plantago,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Plantago,Plantago coronopus,MC9138,51.4209,-0.3049,2021-04-06
Erodium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Erodium,Erodium moschatum,MC9139,51.4209,-0.3049,2021-04-06
Capsella,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Capsella,Capsella bursa-pastoris,MC9140,51.4209,-0.3049,2021-04-06
Solanum,Solanaceae,Solanales,Angiosperms,,,,Solanales,Solanaceae,Solanum,Solanum dulcamara,MC 9032,51.4212,-0.3051,2020-08-12
Vicia,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Vicia,Vicia cracca,MC 9033,51.4212,-0.3051,2020-08-12
Stachys,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Stachys,Stachys palustris,MC 9034,51.4212,-0.3051,2020-08-12
Humulus,Cannabaceae,Rosales,Angiosperms,,,,Rosales,Cannabaceae,Humulus,Humulus lupulus,MC 9035,51.4212,-0.3051,2020-08-12
Rumex,Polygonaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Polygonaceae,Rumex,Rumex hydrolapathum,MC 9036,51.4212,-0.3051,2020-08-12
Filipendula,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Filipendula,Filipendula ulmaria,MC 9037,51.4212,-0.3051,2020-08-12
Alnus,Betulaceae,Fagales,Angiosperms,,,,Fagales,Betulaceae,Alnus,Alnus glutinosa,MC 9038,51.4212,-0.3051,2020-08-12
Matricaria,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Matricaria,Matricaria discoidea,MC9356,51.4218,-0.0746,2022-05-27
Matricaria,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Matricaria,Matricaria chamomilla,MC9357,51.4218,-0.0746,2022-05-27
Potentilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Potentilla,Potentilla reptans,MC9350,51.4218,-0.3056,2022-05-24
Crepis,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Crepis,Crepis capillaris,MC9354,51.4218,-0.3056,2022-05-24
Pulicaria,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Pulicaria,Pulicaria dysenterica,MC 9039,51.4224,-0.3057,2020-08-12
Potentilla,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Potentilla,Potentilla anserina,MC 9040,51.4224,-0.3057,2020-08-12
Tussilago,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Tussilago,Tussilago farfara,MC9151,51.4252,-0.308,2021-04-19
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus ilex,MC9244,51.4257,-0.3082,2021-07-26
Galium,Rubiaceae,Gentianales,Angiosperms,,,,Gentianales,Rubiaceae,Galium,Galium aparine,MC 9094,51.4262,-0.3003,2020-09-07
Chenopodium,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Chenopodium,Chenopodium album,MC9211,51.4262,-0.3003,2021-06-28
Anagallis,Primulaceae,Ericales,Angiosperms,,,,Ericales,Primulaceae,Anagallis,Anagallis arvensis,MC9212,51.4262,-0.3003,2021-06-28
Papaver,Papaveraceae,Ranunculales,Angiosperms,,,,Ranunculales,Papaveraceae,Papaver,Papaver somniferum,MC9214,51.4262,-0.3003,2021-06-28
Borago,Boraginaceae,Boraginales,Angiosperms,,,,Boraginales,Boraginaceae,Borago,Borago officinalis,MC 9020,51.4262,-0.3003,2020-08-06
Misopates,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Misopates,Misopates orontium,MC 9021,51.4262,-0.3003,2020-08-06
Convolvulus,Convolvulaceae,Solanales,Angiosperms,,,,Solanales,Convolvulaceae,Convolvulus,Convolvulus arvensis,MC 9026,51.4262,-0.3003,2020-08-10
Stellaria,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Stellaria,Stellaria media,MC 9027,51.4262,-0.3003,2020-08-10
Myosotis,Boraginaceae,Boraginales,Angiosperms,,,,Boraginales,Boraginaceae,Myosotis,Myosotis sylvatica,MC9179,51.4265,-0.3006,2021-05-10
Linaria,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Linaria,Linaria vulgaris,MC 9063,51.4282,-0.3121,2020-09-01
Tanacetum,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Tanacetum,Tanacetum vulgare,MC 9065,51.4282,-0.3121,2020-09-01
Cardamine,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Cardamine,Cardamine pratensis,MC9134,51.4282,-0.3129,2021-04-06
Onobrychis,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Onobrychis,Onobrychis viciifolia,MC 9058,51.4284,-0.2951,2020-08-27
Nuphar,Nymphaeaceae,Nymphaeales,Angiosperms,,,,Nymphaeales,Nymphaeaceae,Nuphar,Nuphar pumila,MC9215,51.4284,-2951,2021-06-28
Sanguisorba,Rosaceae,Rosales,Angiosperms,,,,Rosales,Rosaceae,Sanguisorba,Sanguisorba officinalis,MC9340,51.4287,-0.295,2022-05-18
Leucanthemum,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Leucanthemum,Leucanthemum vulgare,MC9341,51.4287,-0.295,2022-05-18
Quercus,Fagaceae,Fagales,Angiosperms,,,,Fagales,Fagaceae,Quercus,Quercus cerris,MC9243,51.429,-0.3148,2021-07-26
Vicia,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Vicia,Vicia sativa,MC9182,51.4293,-0.3072,2021-05-17
Smyrnium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Smyrnium,Smyrnium olusatrum,MC9150,51.4298,-0.3168,2021-04-19
Geranium,Geraniaceae,Geraniales,Angiosperms,,,,Geraniales,Geraniaceae,Geranium,Geranium rotundifolium,MC9149,51.4303,-0.319,2021-04-19
Smyrnium,Apiaceae,Apiales,Angiosperms,,,,Apiales,Apiaceae,Smyrnium,Smyrnium perfoliatum,MC9143,51.4316,-0.2936,2021-04-11
Helminthotheca,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Helminthotheca,Helminthotheca echioides,MC9272,51.4318,-0.324,2021-08-17
Galium,Rubiaceae,Gentianales,Angiosperms,,,,Gentianales,Rubiaceae,Galium,Galium verum,MC9273,51.4318,-0.324,2021-08-17
Sherardia,Rubiaceae,Gentianales,Angiosperms,,,,Gentianales,Rubiaceae,Sherardia,Sherardia arvensis,MC9177,51.4324,-0.3253,2021-05-10
Salvia,Lamiaceae,Lamiales,Angiosperms,,,,Lamiales,Lamiaceae,Salvia,Salvia verbenaca,MC9178,51.4324,-0.3253,2021-05-10
Saponaria,Caryophyllaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Caryophyllaceae,Saponaria,Saponaria officinalis,MC9274,51.4326,-0.321,2021-08-17
Plantago,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Plantago,Plantago major,MC9275,51.4335,-0.325,2021-08-17
Odontites,Orobanchaceae,Lamiales,Angiosperms,,,,Lamiales,Orobanchaceae,Odontites,Odontites vernus,MC9239,51.435,-0.3214,2021-07-26
Lathyrus,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Lathyrus,Lathyrus aphaca,MC9240,51.435,-0.3214,2021-07-26
Robinia,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Robinia,Robinia pseudoacacia,MC9241,51.435,-0.3214,2021-07-26
Rorippa,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Rorippa,Rorippa sylvestris,MC9329,51.4353,-0.3265,2022-05-06
Veronica,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Veronica,Veronica arvensis,MC9331,51.4356,-0.3245,2022-05-06
Blitum,Amaranthaceae,Caryophyllales,Angiosperms,,,,Caryophyllales,Chenopodiaceae,Blitum,Blitum bonus-henricus,MC9358,51.4356,-0.3245,2022-05-31
Dipsacus,Caprifoliaceae,Dipsacales,Angiosperms,,,,Dipsacales,Caprifoliaceae,Dipsacus,Dipsacus fullonum,MC9359,51.4356,-0.3245,2022-05-31
Trifolium,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Trifolium,Trifolium repens,MC9360,51.4356,-0.3245,2022-05-31
Veronica,Plantaginaceae,Lamiales,Angiosperms,,,,Lamiales,Plantaginaceae,Veronica,Veronica persica,MC9361,51.4356,-0.3245,2022-05-31
Betula,Betulaceae,Fagales,Angiosperms,,,,Fagales,Betulaceae,Betula,Betula pendula,MC9333,51.4359,-0.3232,2022-05-06
Galega,Fabaceae,Fabales,Angiosperms,,,,Fabales,Fabaceae,Galega,Galega officinalis,MC9277,51.4359,-0.3254,2021-08-17
Artemisia,Asteraceae,Asterales,Angiosperms,,,,Asterales,Asteraceae,Artemisia,Artemisia vulgaris,MC9278,51.4359,-0.3254,2021-08-17
Armoracia,Brassicaceae,Brassicales,Angiosperms,,,,Brassicales,Brassicaceae,Armoracia,Armoracia rusticana,MC9279,51.4359,-0.3254,2021-08-17
