Institute,ID Number,Project,Higher Group,Family,Genus,Species ,Standard,Buffer,mean1,mean2,cv1,cv2,ratio,ave.sample,ave.standard,GS pg (2C),GS pg (1C),1C/Gbp,cv.sample,cv.standard,SD(R).sample,measured by,Date,DToL Specimen ID,Previous estimate (2C) (prime*),Comments on DToL sample,,,,,
MSB,136237,UK Flora,,,Hieracium ,linguans,>Petro,,167.45,446.62,2.57,2.04,2.667,453.32,171.5133333,11.89,5.95,5.82,1.80,2.24,0.023,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,171.81,453.88,2.14,1.7,2.642,,,,,,,,,,,,,,,,,,
,,,,,,,,,175.28,459.46,2.02,1.65,2.621,,,,,,,,,,,,,,,,,,
MSB,854546,UK Flora,,,Hieracium ,hethlandiae,>Petro,,144.37,510.23,4.2,4.63,3.534,535.4633333,152.05,15.85,7.92,7.75,4.48,4.05,0.012,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,153.75,539.61,3.79,4.58,3.510,,,,,,,,,,,,,,,,,,
,,,,,,,,,158.03,556.55,4.16,4.24,3.522,,,,,,,,,,,,,,,,,,
MSB,939117,UK Flora,,,Taraxacum ,ciliare,<Pisum,,195.58,408.77,3.54,2.43,2.090,210.0933333,425.2533333,4.49,2.25,2.20,3.30,2.25,0.056,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,214.05,429.16,3.72,2.04,2.005,,,,,,,,,,,,,,,,,,
,,,,,,,,,220.65,437.83,2.64,2.27,1.984,,,,,,,,,,,,,,,,,,
,944629,UK Flora,,,Hieracium ,kinghousense,>Petro,,163.23,536.26,2.71,2.69,3.285,543.53,167.84,14.57,7.29,7.13,2.70,2.76,0.045,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,167.3,541.54,2.86,2.68,3.237,,,,,,,,,,,,,,,,,,
,,,,,,,,,172.99,552.79,2.72,2.74,3.195,,,,,,,,,,,,,,,,,,
MSB,891745,UK Flora,,,Hieracium ,subrubicundum,>Petro,,198.14,504.15,4.34,3.75,2.544,505.69,202.32,11.25,5.62,5.50,4.92,5.42,0.038,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,195.09,484.4,7.38,7.05,2.483,,,,,,,,,,,,,,,,,,
,,,,,,,,,213.73,528.52,4.54,3.97,2.473,,,,,,,,,,,,,,,,,,
MSB,944582,UK Flora,,,Hieracium ,pollinarioides,>Petro,,162.88,521.47,3.92,3.64,3.202,538.2266667,170.5833333,14.20,7.10,6.94,2.88,3.24,0.048,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,173.48,548.53,3.12,2.66,3.162,,,,,,,,,,,,,,,,,,
,,,,,,,,,175.39,544.68,2.67,2.35,3.106,,,,,,,,,,,,,,,,,,
MSB,854568,UK Flora,,,Hieracium ,spenceanum,>Petro,,186.05,666.5,2.96,2.74,3.582,610.36,173.0833333,15.87,7.93,7.76,4.75,5.10,0.059,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,164.8,581.15,6.31,6.22,3.526,,,,,,,,,,,,,,,,,,
,,,,,,,,,168.4,583.43,6.04,5.29,3.464,,,,,,,,,,,,,,,,,,
MSB,108124,UK Flora,,,Hieracium ,hanburyi f. atraticeps,>Petro,,149.96,529.75,3.42,2.83,3.533,541.5766667,156.0033333,15.62,7.81,7.64,2.52,3.11,0.059,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,157.24,545.72,2.85,2.44,3.471,,,,,,,,,,,,,,,,,,
,,,,,,,,,160.81,549.26,3.06,2.3,3.416,,,,,,,,,,,,,,,,,,
MSB,939379,UK Flora,,,Hieracium ,apiculatidens,>Petro,,154.18,503.73,3.06,2.98,3.267,510.55,157.7066667,14.57,7.28,7.12,2.66,2.64,0.028,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,158.04,511.31,2.5,2.47,3.235,,,,,,,,,,,,,,,,,,
,,,,,,,,,160.9,516.61,2.36,2.54,3.211,,,,,,,,,,,,,,,,,,
MSB,940877,UK Flora,,,Hieracium ,chrysolorum,>Petro,,159.18,532.73,3.08,3.06,3.347,542.1866667,163.34,14.94,7.47,7.30,2.53,2.56,0.030,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,163.66,544.07,2.21,2.18,3.324,,,,,,,,,,,,,,,,,,
,,,,,,,,,167.18,549.76,2.4,2.36,3.288,,,,,,,,,,,,,,,,,,
MSB,939139,UK Flora,,,Hieracium ,stenolepiforme,>Petro,,160.42,381.74,2.38,2.01,2.380,388.2733333,164.1466667,10.64,5.32,5.21,1.88,2.24,0.015,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,164.54,389.32,2.34,1.84,2.366,,,,,,,,,,,,,,,,,,
,,,,,,,,,167.48,393.76,2.01,1.8,2.351,,,,,,,,,,,,,,,,,,
MSB,116774,UK Flora,,,Hieracium ,mundum,>Petro,,154.09,536.37,3.43,3.63,3.481,541.18,157.3766667,15.47,7.74,7.57,3.65,3.27,0.041,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,157.79,542.31,3.1,3.51,3.437,,,,,,,,,,,,,,,,,,
,,,,,,,,,160.25,544.86,3.27,3.82,3.400,,,,,,,,,,,,,,,,,,
MSB,934134,UK Flora,,,Taraxacum ,berthae,<Pisum,,179.05,318.11,4.58,3.33,1.777,187.1733333,325.4033333,5.23,2.61,2.56,4.85,3.70,0.033,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,190.96,328.42,4.72,3.52,1.720,,,,,,,,,,,,,,,,,,
,,,,,,,,,191.51,329.68,5.26,4.25,1.721,,,,,,,,,,,,,,,,,,
MSB,934101,UK Flora,,,Taraxacum ,rubicundum,<Pisum,,135.38,349.23,5.93,5.54,2.580,148.2333333,379.4466667,3.55,1.78,1.74,3.47,2.96,0.017,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,153.38,391.84,2.31,1.68,2.555,,,,,,,,,,,,,,,,,,
,,,,,,,,,155.94,397.27,2.18,1.65,2.548,,,,,,,,,,,,,,,,,,
MSB,95509,UK Flora,,,Romulea,columnae,<Pisum,,123.37,370.34,2.5,1.55,3.002,125.83,373.1733333,3.07,1.53,1.50,2.94,1.71,0.034,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,126.19,373.67,2.9,1.61,2.961,,,,,,,,,,,,,,,,,,
,,,,,,,,,127.93,375.51,3.41,1.96,2.935,,,,,,,,,,,,,,,,,,
MSB,131438,UK Flora,,,Scleranthus,annuus ssp. Annuus,<Pisum,,164.79,356.55,3.13,1.88,2.164,168.7066667,361.0066667,4.25,2.12,2.08,2.99,1.87,0.023,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,168.6,360.45,2.84,1.84,2.138,,,,,,,,,,,,,,,,,,
,,,,,,,,,172.73,366.02,3.01,1.9,2.119,,,,,,,,,,,,,,,,,,
MSB,944537,UK Flora,,,Poa,alpina,<Pisum,,309.38,353.42,3.25,1.86,1.142,317.71,359.67,8.03,4.01,3.93,2.90,1.79,0.011,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,314.2,356.11,2.8,1.79,1.133,,,,,,,,,,,,,,,,,,
,,,,,,,,,329.55,369.48,2.65,1.71,1.121,,,,,,,,,,,,,,,,,,
MSB,236584,UK Flora,,,Hieracium ,siluriense,>Petro,,179.8,437.43,3.01,2.53,2.433,439.9733333,181.44,10.91,5.46,5.34,2.37,3.17,0.008,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,181.45,440.03,3.16,2.29,2.425,,,,,,,,,,,,,,,,,,
,,,,,,,,,183.07,442.46,3.35,2.3,2.417,,,,,,,,,,,,,,,,,,
MSB,879277,UK Flora,,,Hieracium ,anglicum,>Petro,,151.79,388.4,2.87,2.14,2.559,390.7366667,153.4366667,11.46,5.73,5.60,2.18,3.06,0.011,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,153.5,390.02,3.13,2.24,2.541,,,,,,,,,,,,,,,,,,
,,,,,,,,,155.02,393.79,3.19,2.15,2.540,,,,,,,,,,,,,,,,,,
MSB,930572,UK Flora,,,Taraxacum ,stenacrum,<Pisum,,144.51,400.34,4.81,2.48,2.770,146.7766667,402.06,3.32,1.66,1.62,4.98,2.46,0.027,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,146.59,400.07,5.05,2.54,2.729,,,,,,,,,,,,,,,,,,
,,,,,,,,,149.23,405.77,5.08,2.36,2.719,,,,,,,,,,,,,,,,,,
MSB,930619,UK Flora,,,Taraxacum ,pruinatum,<Pisum,,155.13,416.64,3.34,2.04,2.686,157.7733333,418.5,3.43,1.71,1.68,3.00,1.96,0.030,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,159.66,422.35,2.64,1.81,2.645,,,,,,,,,,,,,,,,,,
,,,,,,,,,158.53,416.51,3.02,2.03,2.627,,,,,,,,,,,,,,,,,,
MSB,933643,UK Flora,,,Hieracium ,vagicola,>Petro,,165.99,520.58,3.12,2.58,3.136,526.3133333,168.3466667,14.07,7.03,6.88,2.42,2.94,0.015,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,167.5,525.01,2.85,2.23,3.134,,,,,,,,,,,,,,,,,,
,,,,,,,,,171.55,533.35,2.85,2.46,3.109,,,,,,,,,,,,,,,,,,
MSB,892708,UK Flora,,,Hieracium ,subscoticum,>Petro,,161.89,547.66,2.54,2.33,3.383,551.1733333,163.8133333,15.14,7.57,7.40,2.43,2.73,0.019,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,163.82,551.48,2.54,2.33,3.366,,,,,,,,,,,,,,,,,,
,,,,,,,,,165.73,554.38,3.11,2.63,3.345,,,,,,,,,,,,,,,,,,
MSB,859079,UK Flora,,,Hieracium ,lissolepium,>Petro,,167.75,589.5,2.76,2.35,3.514,595.2866667,170.4033333,15.72,7.86,7.69,2.14,2.49,0.018,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,170.74,594.63,2.38,2.06,3.483,,,,,,,,,,,,,,,,,,
,,,,,,,,,172.72,601.73,2.33,2.01,3.484,,,,,,,,,,,,,,,,,,
MSB,930561,UK Flora,,,Taraxacum ,acutifrons,<Pisum,,139.52,456.42,2.9,1.47,3.271,142.4633333,458.9666667,2.82,1.41,1.38,2.81,1.49,0.049,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,142.04,457.64,2.51,1.35,3.222,,,,,,,,,,,,,,,,,,
,,,,,,,,,145.83,462.84,3.02,1.66,3.174,,,,,,,,,,,,,,,,,,
MSB,934260,UK Flora,,,Taraxacum ,chrysoglossum,<Pisum,,178.49,373.12,2.79,1.76,2.090,183.68,379.4433333,4.40,2.20,2.15,2.66,1.77,0.025,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,183.35,379.01,2.61,1.75,2.067,,,,,,,,,,,,,,,,,,
,,,,,,,,,189.2,386.2,2.58,1.81,2.041,,,,,,,,,,,,,,,,,,
MSB,878661,UK Flora,,,Hieracium ,breconense,>Petro,,183.23,440.73,2.64,2.37,2.405,443.9033333,185.2633333,10.78,5.39,5.27,2.39,2.74,0.008,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,185.25,443.53,2.94,2.45,2.394,,,,,,,,,,,,,,,,,,
,,,,,,,,,187.31,447.45,2.64,2.34,2.389,,,,,,,,,,,,,,,,,,
MSB,893266,UK Flora,,,Hieracium ,proximum,>Petro,,191.89,497.43,3.08,2.66,2.592,505.67,196.5433333,11.58,5.79,5.66,2.66,2.88,0.021,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,195.41,503.59,3.35,3.42,2.577,,,,,,,,,,,,,,,,,,
,,,,,,,,,202.33,515.99,2.22,1.91,2.550,,,,,,,,,,,,,,,,,,
MSB,891974,UK Flora,,,Hieracium ,scoticum,>Petro,,125.36,428.99,2.53,1.63,3.422,438.34,129.2366667,15.26,7.63,7.46,1.66,2.67,0.033,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,134.47,451.39,2.75,1.68,3.357,,,,,,,,,,,,,,,,,,
,,,,,,,,,127.88,434.64,2.73,1.66,3.399,,,,,,,,,,,,,,,,,,
MSB,892937,UK Flora,,,Hieracium ,scarpicum,>Petro,,142.39,470.58,3.75,3.63,3.305,452.9533333,138.3866667,14.73,7.36,7.20,3.43,3.39,0.036,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,143.68,470.8,3.92,3.71,3.277,,,,,,,,,,,,,,,,,,
,,,,,,,,,129.09,417.48,2.5,2.95,3.234,,,,,,,,,,,,,,,,,,
MSB,859046,UK Flora,,,Hieracium ,dilectum,>Petro,,117.79,421.8,2.64,3.01,3.593,427.21,119.61,16.07,8.04,7.86,2.87,2.95,0.015,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,119.39,426.44,3.03,2.76,3.572,,,,,,,,,,,,,,,,,,
,,,,,,,,,121.65,433.39,3.17,2.83,3.563,,,,,,,,,,,,,,,,,,
MSB,933609,UK Flora,,,Taraxacum ,acutifidum,<Pisum,,99.09,238.05,6.42,2.28,2.402,124.9,295.9833333,3.84,1.92,1.88,6.27,2.40,0.035,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,135.75,323.42,6.42,2.23,2.382,,,,,,,,,,,,,,,,,,
,,,,,,,,,139.86,326.48,5.98,2.68,2.334,,,,,,,,,,,,,,,,,,
MSB,914006,UK Flora,,,Taraxacum ,unguilobum,<Pisum,,125.66,295.36,4.71,2.2,2.350,128.4866667,296.6433333,3.94,1.97,1.93,3.87,1.92,0.036,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,128.89,296.16,3.53,1.92,2.298,,,,,,,,,,,,,,,,,,
,,,,,,,,,130.91,298.41,3.37,1.64,2.280,,,,,,,,,,,,,,,,,,
MSB,930608,UK Flora,,,Taraxacum ,ronae,<Pisum,,135.13,363.82,4.47,2.56,2.692,136.6466667,363.4866667,3.42,1.71,1.67,4.14,2.65,0.034,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,136.28,362.94,4.23,2.57,2.663,,,,,,,,,,,,,,,,,,
,,,,,,,,,138.53,363.7,3.73,2.82,2.625,,,,,,,,,,,,,,,,,,
MSB,894311,UK Flora,,,Hieracium ,sowadeense,>Petro,,148.74,521.11,3.56,3.06,3.504,527.4,151.5533333,15.66,7.83,7.66,2.75,3.16,0.023,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,151.75,527.82,2.99,2.67,3.478,,,,,,,,,,,,,,,,,,
,,,,,,,,,154.17,533.27,2.93,2.51,3.459,,,,,,,,,,,,,,,,,,
MSB,107895,UK Flora,,,Hieracium ,calenduliflorum,>Petro,,130.81,454.55,5.48,7.66,3.475,456.2933333,130.7466667,15.70,7.85,7.68,6.53,5.38,0.023,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,132.42,465.59,4.35,4.96,3.516,,,,,,,,,,,,,,,,,,
,,,,,,,,,129.01,448.74,6.31,6.96,3.478,,,,,,,,,,,,,,,,,,
MSB,934237,UK Flora,,,Taraxacum ,stenoglossum,<Pisum,,150.54,485.74,3.24,1.8,3.227,155.0833333,491.0166667,2.87,1.44,1.40,3.01,1.61,0.058,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,155.1,490.6,3.01,1.51,3.163,,,,,,,,,,,,,,,,,,
,,,,,,,,,159.61,496.71,2.78,1.53,3.112,,,,,,,,,,,,,,,,,,
MSB,933768,UK Flora,,,Taraxacum ,fulgidum,<Pisum,,107.66,352.64,4.25,2.41,3.276,109.74,353.91,2.82,1.41,1.38,3.97,2.87,0.045,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,110.03,353.25,3.5,2.87,3.210,,,,,,,,,,,,,,,,,,
,,,,,,,,,111.53,355.84,4.16,3.32,3.190,,,,,,,,,,,,,,,,,,
MSB,934123,UK Flora,,,Taraxacum ,pseudolarssonii,<Pisum,,186.35,386.07,2.91,2.01,2.072,192.9833333,393.99,4.45,2.23,2.18,2.82,1.86,0.028,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,193.89,395.31,2.77,1.79,2.039,,,,,,,,,,,,,,,,,,
,,,,,,,,,198.71,400.59,2.79,1.78,2.016,,,,,,,,,,,,,,,,,,
MSB,891262,UK Flora,,,Taraxacum ,xiphoideum,<Pisum,,162.97,352.89,4.38,3.11,2.165,168.0066667,358.7833333,4.26,2.13,2.08,4.21,3.01,0.027,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,168.71,359.63,3.85,2.86,2.132,,,,,,,,,,,,,,,,,,
,,,,,,,,,172.34,363.83,4.39,3.05,2.111,,,,,,,,,,,,,,,,,,
MSB,934248,UK Flora,,,Taraxacum ,pannulatum,<Pisum,,113.71,372.59,4.19,2.41,3.277,115.83,377.1433333,2.79,1.40,1.37,3.75,2.21,0.035,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,113.71,372.59,4.19,2.41,3.277,,,,,,,,,,,,,,,,,,
,,,,,,,,,120.07,386.25,2.86,1.8,3.217,,,,,,,,,,,,,,,,,,
MSB,876483,UK Flora,,,Taraxacum ,palustrisquameum,<Pisum,,185.19,334.87,3.72,2.95,1.808,196.38,347.6233333,5.14,2.57,2.51,4.07,3.25,0.032,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,200.38,352.04,3.78,3.11,1.757,,,,,,,,,,,,,,,,,,
,,,,,,,,,203.57,355.96,4.7,3.68,1.749,,,,,,,,,,,,,,,,,,
MSB,934318,UK Flora,,,Taraxacum ,boekmanii,<Pisum,,145.55,430.05,3.62,2.68,2.955,154.2333333,443.7966667,3.16,1.58,1.54,3.87,2.78,0.076,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,155.24,447.37,3.92,2.55,2.882,,,,,,,,,,,,,,,,,,
,,,,,,,,,161.91,453.97,4.06,3.11,2.804,,,,,,,,,,,,,,,,,,
MSB,893853,UK Flora,,,Hieracium ,eboracense,>Petro,,152.56,406.49,3.59,3.49,2.664,409.2866667,154.4533333,11.92,5.96,5.83,2.70,3.07,0.014,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,153.79,407.34,2.77,2.42,2.649,,,,,,,,,,,,,,,,,,
,,,,,,,,,157.01,414.03,2.86,2.2,2.637,,,,,,,,,,,,,,,,,,
MSB,933595,UK Flora,,,Taraxacum ,akteum,<Pisum,,130.2,394.29,4.29,2.88,3.028,136.5666667,398.08,3.12,1.56,1.52,3.59,2.53,0.098,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,137.76,397.22,3.31,2.44,2.883,,,,,,,,,,,,,,,,,,
,,,,,,,,,141.74,402.73,3.17,2.27,2.841,,,,,,,,,,,,,,,,,,
MSB,934215,UK Flora,,,Taraxacum ,polyodon,<Pisum,,146.14,442.94,4.7,2.95,3.031,148.095,443.955,3.03,1.52,1.48,4.50,3.12,0.046,Robyn Powell,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,150.05,444.97,4.3,3.28,2.966,,,,,,,,,,,,,,,,,,
MSB,933610,UK Flora,,,Taraxacum ,subxanthostigma,<Pisum,,192.93,607.28,3.69,2.36,3.148,202.0766667,620.9566667,2.96,1.48,1.45,3.01,1.91,0.069,Robyn Powell,,,,,,,,,
,,,,,,,,,202.98,622.1,2.78,1.72,3.065,,,,,,,,,,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,210.32,633.49,2.56,1.66,3.012,,,,,,,,,,,,,,,,,,
MSB,934167,UK Flora,,,Taraxacum ,exacutum,<Pisum,,183.41,597.29,3.05,2.02,3.257,191.03,607.9933333,2.86,1.43,1.40,2.63,1.79,0.073,Robyn Powell,,,,,,,,,
,,,,,,,,,189.83,605.04,2.44,1.76,3.187,,,,,,,,,,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,199.85,621.65,2.4,1.6,3.111,,,,,,,,,,,,,,,,,,
MSB,891365,UK Flora,,,Hieracium ,charitodon,>Petro,,157.31,406.45,3.86,3.16,2.584,411.5666667,160.7333333,11.52,5.76,5.63,3.26,3.55,0.022,Robyn Powell,,,,,,,,,
,,,,,,,,,159.32,407.68,3.86,3.69,2.559,,,,,,,,,,,,,,,,,,
,,,,,,,,GPB3%PVPBmet,165.57,420.57,2.92,2.92,2.540,,,,,,,,,,,,,,,,,,
MSB,893026,UK Flora,,,Hieracium ,melanoglochin,>Petro,,214.07,575.83,2.56,2.27,2.690,578.335,215.045,12.10,6.05,5.92,2.18,2.46,0.001,Robyn Powell,,,,,,,,,
,,,,,,,,,216.02,580.84,2.36,2.09,2.689,,,,,,,,,,,,,,,,,,
MSB,933779,UK Flora,,,Taraxacum ,palustre,<Pisum,GPB3%PVPBmet,173.17,362.85,3.43,2.94,2.095,176.35,365.5833333,4.38,2.19,2.14,3.36,2.67,0.022,Robyn Powell,,,,,,,,,
,,,,,,,,,177.16,367.27,3.18,2.55,2.073,,,,,,,,,,,,,,,,,,
,,,,,,,,,178.72,366.63,3.46,2.52,2.051,,,,,,,,,,,,,,,,,,
